	e2e4 node 230, Score 0, alpha 0, beta 30000
a7a6 node 232, Score -5, alpha -30000, beta 0
a7a5 node 233, Score -5, alpha -5, beta 0
b7b6 node 234, Score -5, alpha -5, beta 0
b7b5 node 235, Score -5, alpha -5, beta 0
c7c6 node 236, Score 0, alpha -5, beta 0
	f2f3 node 236, Score 0, alpha 0, beta 30000
a7a6 node 238, Score -15, alpha -30000, beta 0
a7a5 node 239, Score -15, alpha -15, beta 0
b7b6 node 240, Score -15, alpha -15, beta 0
b7b5 node 241, Score -15, alpha -15, beta 0
c7c6 node 242, Score -10, alpha -15, beta 0
c7c5 node 244, Score -10, alpha -10, beta 0
e7e6 node 245, Score 0, alpha -10, beta 0
	f2f4 node 245, Score 0, alpha 0, beta 30000
a7a6 node 247, Score 0, alpha -30000, beta 0
	g2g3 node 247, Score 0, alpha 0, beta 30000
a7a6 node 249, Score 0, alpha -30000, beta 0
	g2g4 node 249, Score 0, alpha 0, beta 30000
a7a6 node 251, Score 0, alpha -30000, beta 0
	h2h3 node 251, Score 0, alpha 0, beta 30000
a7a6 node 253, Score 0, alpha -30000, beta 0
	h2h4 node 253, Score 0, alpha 0, beta 30000
a7a6 node 255, Score -15, alpha -30000, beta 0
a7a5 node 256, Score -15, alpha -15, beta 0
b7b6 node 257, Score -15, alpha -15, beta 0
b7b5 node 258, Score -15, alpha -15, beta 0
c7c6 node 259, Score -10, alpha -15, beta 0
c7c5 node 261, Score -10, alpha -10, beta 0
e7e6 node 262, Score 0, alpha -10, beta 0
	b1a3 node 262, Score 0, alpha 0, beta 30000
a7a6 node 266, Score -25, alpha -30000, beta 0
a7a5 node 267, Score -25, alpha -25, beta 0
b7b6 node 268, Score -25, alpha -25, beta 0
b7b5 node 269, Score -25, alpha -25, beta 0
c7c6 node 272, Score -20, alpha -25, beta 0
c7c5 node 274, Score -20, alpha -20, beta 0
e7e6 node 277, Score -5, alpha -20, beta 0
e7e5 node 279, Score -5, alpha -5, beta 0
f7f6 node 280, Score -5, alpha -5, beta 0
f7f5 node 281, Score -5, alpha -5, beta 0
g7g6 node 282, Score -5, alpha -5, beta 0
g7g5 node 283, Score -5, alpha -5, beta 0
h7h6 node 284, Score -5, alpha -5, beta 0
h7h5 node 285, Score -5, alpha -5, beta 0
b8d7 node 286, Score -5, alpha -5, beta 0
b8c6 node 289, Score 0, alpha -5, beta 0
	b1c3 node 289, Score 0, alpha 0, beta 30000
a7a6 node 291, Score -20, alpha -30000, beta 0
a7a5 node 292, Score -20, alpha -20, beta 0
b7b6 node 293, Score -20, alpha -20, beta 0
b7b5 node 294, Score -20, alpha -20, beta 0
c7c6 node 295, Score -15, alpha -20, beta 0
c7c5 node 297, Score -15, alpha -15, beta 0
